,OffenseTeam,DefenseTeam,ToGo,PlayType,DefensePassRank,DefenseRunRank,Down_1,Down_2,Down_3,Down_4,Formation_NO HUDDLE,Formation_NO HUDDLE SHOTGUN,Formation_SHOTGUN,Formation_UNDER CENTER
0,LV,MIA,19,0,25,16,0,0,1,0,0,0,1,0
1,MIN,NO,1,0,5,5,1,0,0,0,0,0,0,1
2,TB,DET,6,1,32,14,0,1,0,0,0,1,0,0
3,TB,DET,10,1,32,14,1,0,0,0,0,1,0,0
4,ARI,SF,10,1,7,7,1,0,0,0,0,1,0,0
5,DEN,LAC,16,0,14,20,0,1,0,0,0,0,1,0
6,DEN,LAC,10,1,14,20,0,0,1,0,0,0,1,0
7,MIA,LV,8,1,27,23,0,1,0,0,0,0,1,0
8,LV,MIA,8,1,25,16,0,1,0,0,0,0,0,1
9,MIA,LV,10,1,27,23,1,0,0,0,0,0,1,0
10,NYJ,CLE,1,0,18,12,0,1,0,0,0,0,0,1
11,NYJ,CLE,10,1,18,12,1,0,0,0,0,0,0,1
12,NYJ,CLE,10,1,18,12,1,0,0,0,0,0,1,0
13,NYJ,CLE,10,0,18,12,0,1,0,0,0,0,1,0
14,NYJ,CLE,11,1,18,12,0,0,1,0,0,0,1,0
15,CLE,NYJ,10,1,23,6,1,0,0,0,0,1,0,0
16,CLE,NYJ,2,1,23,6,0,1,0,0,0,1,0,0
17,CLE,NYJ,2,0,23,6,0,0,1,0,0,0,0,1
18,CLE,NYJ,10,1,23,6,1,0,0,0,0,1,0,0
19,BAL,NYG,10,1,11,9,1,0,0,0,0,0,1,0
20,BAL,NYG,4,0,11,9,0,0,1,0,0,0,1,0
21,BAL,NYG,10,1,11,9,0,1,0,0,0,0,1,0
22,BAL,NYG,3,0,11,9,0,0,1,0,0,0,1,0
23,CIN,HOU,10,0,28,31,1,0,0,0,0,0,0,1
24,CIN,HOU,9,1,28,31,0,1,0,0,0,0,1,0
25,CIN,HOU,1,0,28,31,0,0,1,0,0,0,1,0
26,CIN,HOU,10,1,28,31,1,0,0,0,0,0,0,1
27,CIN,HOU,10,0,28,31,1,0,0,0,0,0,1,0
28,CIN,HOU,8,1,28,31,0,1,0,0,0,0,1,0
29,CIN,HOU,10,0,28,31,1,0,0,0,0,0,0,1
30,CHI,JAX,10,0,31,27,1,0,0,0,0,0,1,0
31,CHI,JAX,7,1,31,27,0,1,0,0,0,0,1,0
32,CHI,JAX,5,1,31,27,0,0,1,0,0,0,1,0
33,CHI,JAX,5,1,31,27,0,0,0,1,0,0,1,0
34,CHI,JAX,10,0,31,27,1,0,0,0,0,0,1,0
35,CHI,JAX,10,1,31,27,0,1,0,0,0,0,1,0
36,CHI,JAX,2,1,31,27,0,0,1,0,0,0,1,0
37,CHI,JAX,10,0,31,27,1,0,0,0,0,0,1,0
38,CHI,JAX,10,1,31,27,1,0,0,0,0,0,1,0
39,CHI,JAX,8,1,31,27,0,1,0,0,0,0,1,0
40,CHI,JAX,10,1,31,27,1,0,0,0,0,0,0,1
41,CHI,JAX,10,0,31,27,0,1,0,0,0,0,0,1
42,CHI,JAX,7,1,31,27,0,0,1,0,0,0,1,0
43,IND,PIT,10,0,3,13,1,0,0,0,0,0,0,1
44,IND,PIT,10,1,3,13,1,0,0,0,0,0,1,0
45,DAL,PHI,4,0,20,10,1,0,0,0,0,0,1,0
46,DAL,PHI,3,1,20,10,0,1,0,0,0,0,1,0
47,WAS,CAR,10,1,12,28,1,0,0,0,0,1,0,0
48,WAS,CAR,10,1,12,28,0,1,0,0,0,0,1,0
49,WAS,CAR,10,1,12,28,0,0,1,0,0,0,1,0
50,WAS,CAR,3,1,12,28,0,0,0,1,0,0,1,0
51,WAS,CAR,10,1,12,28,1,0,0,0,0,1,0,0
52,WAS,CAR,6,1,12,28,0,1,0,0,0,1,0,0
53,WAS,CAR,1,0,12,28,0,0,1,0,0,1,0,0
54,WAS,CAR,10,1,12,28,1,0,0,0,0,1,0,0
55,SEA,LA,12,0,1,3,0,1,0,0,0,0,1,0
56,SEA,LA,9,1,1,3,0,0,1,0,0,0,1,0
57,LA,SEA,7,0,13,4,0,1,0,0,0,0,0,1
58,LA,SEA,3,1,13,4,0,0,1,0,0,0,1,0
59,LA,SEA,10,0,13,4,1,0,0,0,0,0,0,1
60,LA,SEA,8,1,13,4,0,1,0,0,0,0,1,0
61,LA,SEA,10,0,13,4,1,0,0,0,0,0,0,1
62,LA,SEA,5,0,13,4,0,1,0,0,0,0,0,1
63,CAR,NO,10,0,5,5,1,0,0,0,0,0,1,0
64,CAR,NO,6,1,5,5,0,1,0,0,0,0,0,1
65,TEN,GB,10,0,9,21,1,0,0,0,0,0,0,1
66,CIN,BAL,10,0,4,26,1,0,0,0,0,0,1,0
67,CIN,BAL,9,1,4,26,0,1,0,0,0,0,1,0
68,KC,LAC,10,1,14,20,0,1,0,0,0,0,1,0
69,KC,LAC,10,1,14,20,1,0,0,0,0,0,1,0
70,KC,LAC,10,0,14,20,0,1,0,0,0,0,0,1
71,KC,LAC,7,1,14,20,0,0,1,0,0,0,1,0
72,CHI,GB,1,0,9,21,0,0,1,0,0,0,1,0
73,CHI,GB,1,1,9,21,0,0,0,1,0,0,1,0
74,CHI,GB,6,0,9,21,0,0,1,0,0,0,1,0
75,CHI,GB,1,0,9,21,0,0,0,1,0,0,0,1
76,CHI,GB,10,0,9,21,1,0,0,0,0,0,0,1
77,GB,CHI,2,1,17,8,0,1,0,0,0,0,0,1
78,GB,CHI,10,0,17,8,1,0,0,0,0,0,0,1
79,GB,CHI,6,1,17,8,0,1,0,0,0,0,1,0
80,NYJ,NE,1,1,24,17,0,0,1,0,0,0,1,0
81,NYJ,NE,1,1,24,17,0,0,0,1,0,0,1,0
82,NYJ,NE,10,1,24,17,0,1,0,0,0,0,1,0
83,NYJ,NE,10,1,24,17,1,0,0,0,0,0,1,0
84,NYJ,NE,10,1,24,17,0,1,0,0,0,0,1,0
85,PIT,CLE,10,1,18,12,1,0,0,0,0,0,1,0
86,PIT,CLE,10,1,18,12,0,1,0,0,0,0,1,0
87,PIT,CLE,10,1,18,12,0,0,1,0,0,0,1,0
88,NYJ,NE,10,0,24,17,1,0,0,0,0,0,1,0
