,OffenseTeam,DefenseTeam,Down,ToGo,Formation,PlayType,DefensePassRank,DefenseRunRank
1,LV,MIA,3,19,SHOTGUN,0,25,16
4,MIN,NO,1,1,UNDER CENTER,0,5,5
5,TB,DET,2,6,NO HUDDLE SHOTGUN,1,32,14
6,TB,DET,1,10,NO HUDDLE SHOTGUN,1,32,14
7,ARI,SF,1,10,NO HUDDLE SHOTGUN,1,7,7
10,DEN,LAC,2,16,SHOTGUN,0,14,20
11,DEN,LAC,3,10,SHOTGUN,1,14,20
13,MIA,LV,2,8,SHOTGUN,1,27,23
14,LV,MIA,2,8,UNDER CENTER,1,25,16
15,MIA,LV,1,10,SHOTGUN,1,27,23
17,NYJ,CLE,2,1,UNDER CENTER,0,18,12
18,NYJ,CLE,1,10,UNDER CENTER,1,18,12
19,NYJ,CLE,1,10,SHOTGUN,1,18,12
20,NYJ,CLE,2,10,SHOTGUN,0,18,12
21,NYJ,CLE,3,11,SHOTGUN,1,18,12
22,CLE,NYJ,1,10,NO HUDDLE SHOTGUN,1,23,6
23,CLE,NYJ,2,2,NO HUDDLE SHOTGUN,1,23,6
25,CLE,NYJ,3,2,UNDER CENTER,0,23,6
26,CLE,NYJ,1,10,NO HUDDLE SHOTGUN,1,23,6
28,BAL,NYG,1,10,SHOTGUN,1,11,9
30,BAL,NYG,3,4,SHOTGUN,0,11,9
31,BAL,NYG,2,10,SHOTGUN,1,11,9
32,BAL,NYG,3,3,SHOTGUN,0,11,9
33,CIN,HOU,1,10,UNDER CENTER,0,28,31
34,CIN,HOU,2,9,SHOTGUN,1,28,31
35,CIN,HOU,3,1,SHOTGUN,0,28,31
36,CIN,HOU,1,10,UNDER CENTER,1,28,31
37,CIN,HOU,1,10,SHOTGUN,0,28,31
38,CIN,HOU,2,8,SHOTGUN,1,28,31
40,CIN,HOU,1,10,UNDER CENTER,0,28,31
41,CHI,JAX,1,10,SHOTGUN,0,31,27
42,CHI,JAX,2,7,SHOTGUN,1,31,27
43,CHI,JAX,3,5,SHOTGUN,1,31,27
44,CHI,JAX,4,5,SHOTGUN,1,31,27
45,CHI,JAX,1,10,SHOTGUN,0,31,27
46,CHI,JAX,2,10,SHOTGUN,1,31,27
48,CHI,JAX,3,2,SHOTGUN,1,31,27
49,CHI,JAX,1,10,SHOTGUN,0,31,27
50,CHI,JAX,1,10,SHOTGUN,1,31,27
51,CHI,JAX,2,8,SHOTGUN,1,31,27
53,CHI,JAX,1,10,UNDER CENTER,1,31,27
54,CHI,JAX,2,10,UNDER CENTER,0,31,27
55,CHI,JAX,3,7,SHOTGUN,1,31,27
56,IND,PIT,1,10,UNDER CENTER,0,3,13
57,IND,PIT,1,10,SHOTGUN,1,3,13
60,DAL,PHI,1,4,SHOTGUN,0,20,10
61,DAL,PHI,2,3,SHOTGUN,1,20,10
65,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
66,WAS,CAR,2,10,SHOTGUN,1,12,28
67,WAS,CAR,3,10,SHOTGUN,1,12,28
68,WAS,CAR,4,3,SHOTGUN,1,12,28
69,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
70,WAS,CAR,2,6,NO HUDDLE SHOTGUN,1,12,28
71,WAS,CAR,3,1,NO HUDDLE SHOTGUN,0,12,28
72,WAS,CAR,1,10,NO HUDDLE SHOTGUN,1,12,28
75,SEA,LA,2,12,SHOTGUN,0,1,3
76,SEA,LA,3,9,SHOTGUN,1,1,3
78,LA,SEA,2,7,UNDER CENTER,0,13,4
79,LA,SEA,3,3,SHOTGUN,1,13,4
